Name,YearsExperience,Salary
Leo,5,50560
David,11,69403
Rachel,8,64888
Eve,8,65295
Karen,16,94683
Olivia,10,72474
Bob,7,53773
Leo,13,80519
Jack,12,76930
Isaac,9,63048
Hannah,4,49313
Frank,3,42386
Jack,2,36098
Grace,16,97150
Mia,4,48420
Frank,9,70480
David,16,90453
Quinn,20,112976
Jack,16,97710
Alice,16,98245
David,10,72388
Jack,8,57990
Grace,4,45279
Nathan,13,84875
Steve,12,82652
Grace,5,51274
Alice,17,93510
Karen,3,38264
Tina,4,45956
Jack,5,47017
Hannah,10,65122
Quinn,8,62589
Frank,19,104674
Frank,6,51838
Karen,16,98164
Tina,18,100015
Paul,3,45948
Jack,11,74456
Charlie,17,96008
Alice,17,95996
Nathan,5,48206
Grace,20,112834
Steve,6,50982
Olivia,3,38473
Steve,7,56907
Grace,15,85269
Eve,2,38144
Leo,19,104075
Frank,15,89673
Jack,2,39432
